,Yesterday Close,Today Close,% Change
RELIANCE.NS,1207.0999755859375,1212.300048828125,0.430790601222847
TCS.NS,3612.550048828125,,
HDFCBANK.NS,1700.699951171875,1705.5999755859375,0.2881181016490367
ICICIBANK.NS,1222.449951171875,1219.9000244140625,-0.20859150555555
INFY.NS,1764.300048828125,,
HINDUNILVR.NS,2244.949951171875,2203.64990234375,-1.8396868405269422
ITC.NS,401.6000061035156,396.3500061035156,-1.307270896466762
SBIN.NS,703.9000244140625,695.4000244140625,-1.207557849863059
BHARTIARTL.NS,1650.4000244140625,,
HDFC.NS,,,
BAJFINANCE.NS,8705.400390625,8586.0498046875,-1.3709947915322855
KOTAKBANK.NS,1947.550048828125,1920.6500244140625,-1.3812237806288323
LT.NS,3209.5,3187.050048828125,-0.6994843798683595
HCLTECH.NS,1629.199951171875,,
ASIANPAINT.NS,2213.64990234375,,
AXISBANK.NS,1016.7000122070312,1018.2999877929688,0.15736948625232197
MARUTI.NS,12380.599609375,11942.9501953125,-3.534961374012106
SUNPHARMA.NS,1647.5,1630.0,-1.062215477996965
TITAN.NS,3223.10009765625,3156.10009765625,-2.078744003288032
ULTRACEMCO.NS,10447.650390625,10466.0498046875,0.1761105451902407
INDUSINDBK.NS,1046.699951171875,999.2000122070312,-4.5380664164227085
TATASTEEL.NS,138.69000244140625,135.97999572753906,-1.9540029318350551
ONGC.NS,231.0,227.6999969482422,-1.4285727496787068
NTPC.NS,315.70001220703125,313.5,-0.6968679512082234
POWERGRID.NS,256.25,253.5,-1.0731707317073171
BAJAJFINSV.NS,1925.550048828125,1896.5,-1.5086623609604246
GRASIM.NS,2339.949951171875,2356.949951171875,0.7265112654006209
JSWSTEEL.NS,975.0,961.2000122070312,-1.4153833633814104
ADANIENT.NS,2110.949951171875,2084.050048828125,-1.274303179420088
WIPRO.NS,294.5,,
HDFCLIFE.NS,618.4000244140625,605.4000244140625,-2.1021991408097978
COALINDIA.NS,363.8500061035156,372.04998779296875,2.2536708951216076
M&M.NS,2726.550048828125,2619.0,-3.944547024704357
TECHM.NS,1588.25,1510.050048828125,-4.92365503994176
TATAMOTORS.NS,648.5499877929688,633.75,-2.2820118836689005
CIPLA.NS,1441.1500244140625,1425.9000244140625,-1.0581826833885868
APOLLOHOSP.NS,6185.2001953125,6105.60009765625,-1.2869445635175323
ADANIPORTS.NS,1078.949951171875,,
BRITANNIA.NS,4782.7998046875,4708.25,-1.558706358866111
EICHERMOT.NS,4935.5,4900.0,-0.7192786951676629
DIVISLAB.NS,5615.7998046875,5458.4501953125,-2.801909164277197
HEROMOTOCO.NS,3759.550048828125,3704.199951171875,-1.4722532467283675
SBILIFE.NS,1469.75,1429.6500244140625,-2.7283535013395137
BAJAJ-AUTO.NS,8232.349609375,8105.0,-1.5469412187010896
DRREDDY.NS,1125.550048828125,1110.300048828125,-1.3548931045649772
BPCL.NS,244.75,241.5,-1.3278855975485189
HINDALCO.NS,631.9500122070312,622.7000122070312,-1.4637233675643375
TATACONSUM.NS,1008.0,994.9500122070312,-1.294641646127852
UPL.NS,643.6500244140625,626.2000122070312,-2.7111025472137
NESTLEIND.NS,2278.199951171875,2243.5,-1.5231301867961948
